
\xb0\xd0\xfe0,0\n
1010,2217\n
1009,1712\n
1007,319\n
1009,1700\n
957,2342\n
1009,1629\n
1023,2417\n
1007,2896\n
1008,584\n
1008,1552\n
1008,685\n
977,1523\n
1012,4095\n
1009,1527\n
1010,2723\n
1010,2763\n
1023,986\n
1007,2749\n
1009,1078\n
1009,2749\n
1010,0\n
1003,1382\n
1002,4095\n
1008,1388\n
1003,3110\n
1008,2619\n
1008,1472\n
1010,4095\n
1007,0\n
1009,1249\n
1011,3280\n
1007,1153\n
1011,1647\n
1009,2352\n
1010,1694\n
1010,3861\n
1023,0\n
1009,1002\n
1009,3529\n
1010,934\n
1012,3600\n
1014,905\n
1016,4095\n
1009,826\n
1011,4095\n
1009,784\n
1007,4095\n
981,0\n
1011,4095\n
1009,0\n
1008,4095\n
1010,0\n
1007,3120\n
1012,511\n
1011,1867\n
1011,2407\n
1008,3088\n
1012,761\n
1011,3067\n
1011,832\n
1008,1779\n
1011,976\n
1009,1761\n
1009,1040\n
1015,2944\n
1010,1123\n
1009,4095\n
1010,0\n
1005,1643\n
1012,2828\n
1023,1559\n
1010,1305\n
1023,2687\n
1011,0\n
1006,1475\n
1008,4095\n
1013,1478\n
1012,2830\n
1012,2507\n
1010,1251\n
1012,2434\n
1011,0\n
1012,1392\n
1011,2893\n
1010,1408\n
992,2946\n
1011,1424\n
1011,3008\n
1012,2480\n
1011,1601\n
1011,2451\n
1011,0\n
996,1370\n
1012,4095\n
1012,390\n
1011,4095\n
1012,398\n
1011,4095\n
1010,0\n
1013,4095\n
1008,0\n
1012,4095\n
1012,0\n
1008,3548\n
1011,363\n
1011,2331\n
1013,2054\n
1012,3453\n
1013,506\n
1011,3394\n
1012,576\n
1011,2240\n
1011,662\n
1012,2215\n
1012,713\n
1014,2157\n
1009,2304\n
1012,3173\n
1023,848\n
1013,2927\n
1011,934\n
1012,1979\n
1012,995\n
1011,1923\n
1015,1082\n
1008,2864\n
1011,1105\n
1011,4095\n
1016,0\n
1011,1888\n
1012,2669\n
1012,1897\n
1012,1334\n
1010,2839\n
1011,0\n
1011,1846\n
1012,4095\n
1012,1825\n
1023,2864\n
1012,2742\n
1012,1549\n
1012,2709\n
1012,83\n
1016,1723\n
1011,1699\n
1008,2672\n
1021,1748\n
1011,3859\n
1012,293\n
1012,3703\n
1008,355\n
1013,2550\n
1009,411\n
1012,2502\n
1015,432\n
1013,2442\n
1016,1958\n
1011,3513\n
1012,576\n
1012,3440\n
1011,624\n
1022,2384\n
1011,687\n
1012,2355\n
975,742\n
1012,1366\n
1011,3632\n
1014,2295\n
1012,2290\n
1012,3225\n
1016,897\n
1008,2219\n
1012,967\n
1009,2182\n
1011,1023\n
1012,3126\n
1013,1045\n
1013,4095\n
1013,0\n
1015,2036\n
1012,2559\n
1011,2046\n
1012,1189\n
1013,2973\n
1013,0\n
1011,1979\n
1023,4095\n
1013,1924\n
1012,2753\n
1011,2864\n
1014,1425\n
1011,2809\n
1013,0\n
1013,1801\n
1014,2864\n
1012,1798\n
1014,2912\n
1014,2738\n
1013,1597\n
972,4095\n
1012,1669\n
1013,2735\n
1015,80\n
1020,1680\n
1013,1719\n
1018,2749\n
1021,1778\n
1013,4095\n
1004,204\n
1011,4095\n
1020,230\n
1013,2660\n
1013,291\n
1014,2677\n
1014,366\n
1012,2701\n
1020,2082\n
1012,4095\n
1023,606\n
1012,4095\n
1011,636\n
1011,2738\n
1012,752\n
996,2731\n
1019,2369\n
1012,2621\n
1015,2885\n
1014,4095\n
1015,1337\n
1014,4095\n
1014,0\n
1023,2366\n
1015,2845\n
1013,2290\n
1013,1145\n
1012,4087\n
1012,1155\n
1014,4095\n
1017,0\n
1013,2243\n
1013,2994\n
1012,2192\n
1014,1317\n
1012,4095\n
1012,0\n
1012,2112\n
1013,4095\n
1013,2063\n
1016,3156\n
1014,3910\n
